season,episode,line,character,dialogue
13,34,90,DELIBIRD,[FOCUSED] 
13,34,91,"JESSIE, JAMES, MEOWTH",Is that a sack lunch? 
13,34,92,JESSIE,Spill the beans! I just love beans. Yay! 
13,34,93,JAMES,It's chowtime. Hooray! 
13,34,94,DELIBIRD,[URGENT] 
13,34,95,JESSIE,Beans don't come in a book. 
13,34,96,MEOWTH,It's from headquarters. 
13,34,97,DELIBIRD,[FOCUSED] / [EXERTION] 
13,34,98,"JESSIE, JAMES",Wait! No dessert? 
13,34,99,DELIBIRD,[APOLOGETIC] 
13,34,100,MEOWTH,"Hey, get a load of this! "
13,34,101,JESSIE,Fill us in... 
13,34,102,MEOWTH,"""Greetings Jessie, James, and Meowth. Please contact headquarters immediately."" For what? "
13,34,103,JESSIE,For being us! 
13,34,104,JAMES,That in itself deserves a reward! 
13,34,105,MEOWTH,Operators standing by. Let's call! 
13,34,106,WOBBUFFET,[AFFIRMATIVE] 
13,34,107,SECRETARY,"The truth is, I'm the one who sent you Delibird. "
13,34,108,"JESSIE, JAMES",Not the dear Boss? 
13,34,109,"JESSIE, JAMES, MEOWTH",Our loss. 
13,34,110,SECRETARY,"Mister Giovanni has asked me to inform you that he has a special mission for you, and you alone! "
13,34,111,"JESSIE, JAMES, MEOWTH",Exclusively ours? 
13,34,112,JAMES,An order from the top down? 
13,34,113,JESSIE,Some drop! 
13,34,114,SECRETARY,We'll fill you in on the details here at headquarters. I suggest you come quickly! 
13,34,115,"JESSIE, JAMES, MEOWTH",Like lightning! 
13,34,116,"JESSIE, JAMES, MEOWTH",Um boy! 
13,34,117,MEOWTH,We kept hanging in and now we win! 
13,34,118,JESSIE,"The Boss likes us. He really, really likes us! "
13,34,119,JAMES,Our report must've helped cause such a fuss! 
13,34,120,MEOWTH,"Yeah, what report? "
13,34,121,JESSIE,Remember? 
13,34,122,JESSIE,The one we filed immediately after we defeated Hunter J and Team Galactic! 
13,34,123,MEOWTH,Yeah! That was slick! 
13,34,124,JAMES,Self-promotion sure did the trick! 
13,34,125,JESSIE,"What a perfect day! Thanks, sun! "
13,34,126,"JESSIE, JAMES, MEOWTH","You're shining bright, 'cause we finally won! "
13,34,127,SECRETARY,I informed the agents assigned to the project to return here immediately. 
13,34,128,GIOVANNI,Well done. Thank you. 
13,34,129,SECRETARY,I'm certain they'll be perfect for the job. 
13,34,130,GIOVANNI,Good. You can go now. 
13,34,131,PERSIAN,[CURIOUS] 
13,34,132,BUNEARY,[PROUD] 
13,34,133,ASH,"Buneary, you look amazing! "
13,34,134,BROCK,"Being picked to be a Pokémon model is a real honor, you know? "
13,34,135,PIKACHU,[EXCITED] 
13,34,136,BUNEARY,[EMBARRASSED] 
13,34,137,DAWN,"Yeah, and they said they want to take pictures in Hearthome City right away, so we should hurry! "
13,34,138,PIPLUP,[SURPRISED] 
13,34,139,DAWN,"Well, Buneary? Are you up for this? "
13,34,140,BUNEARY,[EXCITED] 
13,34,141,PIKACHU,[HAPPY] 
13,34,142,BUNEARY,[THRILLED] 
13,34,143,DAWN,Then it's settled! You're going to become an honest-to-goodness Pokémon model! 
13,34,144,BUNEARY,[PSYCHED] 
13,34,145,ASH,"Wow, Buneary is really psyched! "
13,34,146,PIKACHU,[SURPRISED] 
13,34,147,PIPLUP,[SHOCKED] 
13,34,148,ASH,"Good luck, Buneary, and promise you'll let us know as soon as the magazine comes out! "
13,34,149,PIPLUP,[SURPRISED] 
13,34,150,DAWN,"We will! Oh, yeah, I've got to let Zoey know! And when we go to Hearthome City, maybe I'll run into Fantina! "
13,34,151,ASH,Sure hope she won't be off on another journey! 
13,34,152,BROCK,I guess that means we won't be going to Kanto together. 
13,34,153,PIPLUP,[SHOCKED] 
13,34,154,DAWN,"Yeah, that's too bad, but this is Buneary's big chance, and we don't want to miss it! "
13,34,155,ASH,Right! It's awesome! And I can say I'm friends with a big star! 
13,34,156,BROCK,Maybe we should get Buneary's autograph now! 
13,34,157,PIPLUP,[ANGRY] 
13,34,158,PIKACHU,[REASSURING] 
13,34,159,DAWN,"Piplup, what's wrong? "
13,34,160,ASH,Why are you so mad? 
13,34,161,PIPLUP,[WHIRLPOOL MOVE] 
13,34,162,DAWN,"Stop! Piplup, what are you doing? "
13,34,163,PIPLUP,[EXERTION] 
13,34,164,DAWN,What happened?! 
13,34,165,DAWN,Piplup just disappeared! 
13,34,166,ASH,Wonder what that was all about... 
13,34,167,"BUNEARY, PIKACHU",[SHOCKED] 
13,34,168,JOHANNA,"Dawn, what's going on? "
13,34,169,DAWN,Mom! 
13,34,170,JOHANNA,"Why, all of you are soaked to the skin! "
13,34,171,DAWN,Something's wrong! Piplup suddenly got angry and ran off! 
13,34,172,JOHANNA,Maybe Piplup doesn't want to face having to say goodbye to everybody... 
13,34,173,BROCK,Yeah... I'll bet that's it... 
13,34,174,JOHANNA,You've got to go and find Piplup right away! 
13,34,175,DAWN,Togekiss! 
13,34,176,TOGEKISS,[APPEARING] 
13,34,177,ASH,Staraptor! 
13,34,178,STARAPTOR,[APPEARING] 
13,34,179,PIKACHU,[EXERTION] 
13,34,180,PIKACHU,[FOCUSED] 
13,34,181,ASH,"Pikachu, you want to be part of the search? "
13,34,182,PIKACHU,[CONFIDENT] 
13,34,183,BUNEARY,[WORRIED] 
13,34,184,DAWN,No need to worry! You just leave everything to us... 
13,34,185,TOGEKISS,[EXERTION] 
13,34,186,STARAPTOR,[EXERTION] 
13,34,187,PIPLUP,[UPSET] 
13,34,188,TOGEKISS,[EXERTION] 
13,34,189,STARAPTOR,[EXERTION] 
13,34,190,PIKACHU,[NOTICING] 
13,34,191,STARAPTOR,[SURPRISED] 
13,34,192,PIKACHU,[URGENT] 
13,34,193,PIKACHU,[EXPLAINING] 
13,34,194,TOGEKISS,[AGREEING] 
13,34,195,STARAPTOR,[AGREEING] 
13,34,196,PIKACHU,[CALLING] 
13,34,197,PIPLUP,[UPSET] 
13,34,198,"STARAPTOR, PIKACHU",[SHOCKED] 
13,34,199,"PIKACHU, PIPLUP",[FIGHTING] 
13,34,200,PIPLUP,[UPSET] 
13,34,201,PIKACHU,[REASSURING] 
13,34,202,PIPLUP,[UPSET] 
13,34,203,TOGEKISS,[CARING] 
13,34,204,PIPLUP,[CRYING] 
13,34,205,STARAPTOR,[WORRIED] 
13,34,206,PIKACHU,[REQUESTING] 
13,34,207,STARAPTOR,[AGREEING] 
13,34,208,PIPLUP,[UPSET] 
13,34,209,PIKACHU,[CALM] 
13,34,210,PIPLUP,[SAD] 
13,34,211,PIKACHU,[SURPRISED] 
13,34,212,PIKACHU,[CRYING] 
13,34,213,"PIPLUP, PIKACHU",[CRYING] 
13,34,214,TOGEKISS,[CONCERNED] 
13,34,215,MEOWTH,I know how you feel. 
13,34,216,"PIPLUP, PIKACHU, TOGEKISS",[SURPRISED] 
13,34,217,MEOWTH,Nothing's harder-than saying-goodbye! 
13,34,218,"PIPLUP, PIKACHU",[CONFUSED] 
13,34,219,MEOWTH,"I relate to you mugs more than you'll ever, ever know. It feels lower than low. So! I'm gonna make sure you stick together like glue! "
13,34,220,"PIPLUP, PIKACHU, TOGEKISS",[SURPRISED] 
13,34,221,"PIPLUP, PIKACHU, TOGEKISS",[PANICKED] 
13,34,222,MEOWTH,Friends to the very end! 
13,34,223,"JESSIE, JAMES",How close can you get in a net? 
13,34,224,"PIPLUP, PIKACHU, TOGEKISS",[PANICKED] 
13,34,225,MEOWTH,"Hey, chill out! Look at it as a way for you yokels to bond with each other to your hokey hearts' content! "
13,34,226,"PIPLUP, PIKACHU, TOGEKISS",[SHOCKED] 
13,34,227,JAMES,Right! We did you a favor! 
13,34,228,WOBBUFFET,[AFFIRMATIVE] 
13,34,229,JESSIE,"And, without a single Twerp in sight, let's take flight! "
13,34,230,DAWN,Piplup! 
13,34,231,ASH,Pikachu! 
13,34,232,DAWN,Piplup! 
13,34,233,ASH,Alright! Give Pikachu and all of them back now! 
13,34,234,MEOWTH,"Sorry, no can do! Handing them over to a troop of Twerpy Trainers could be bad for our health, and we like being healthy, see? "
13,34,235,ASH,Brave Bird! 
13,34,236,STARAPTOR,[BRAVE BIRD MOVE] 
13,34,237,ASH,"Torterra, use Leaf Storm! "
13,34,238,TORTERRA,[LEAF STORM MOVE] 
13,34,239,"PIKACHU, PIPLUP, TOGEKISS",[PANICKED] 
13,34,240,"PIKACHU, PIPLUP, TOGEKISS",[RELIEVED] 
13,34,241,TOGEKISS,[EXERTION] 
13,34,242,ASH,Pikachu! 
13,34,243,"PIPLUP, PIKACHU",[RELIEVED]  
13,34,244,DAWN,Is everyone okay? 
13,34,245,JESSIE,That won't do! 
13,34,246,JAMES,Here's a solution. 
13,34,247,MEOWTH,Make you not okay! 
13,34,248,WOBBUFFET,[AFFIRMATIVE] 
13,34,249,ASH,All right let's go! 
13,34,250,JESSIE,Seviper! Yanmega! It's Twerp time! 
13,34,251,SEVIPER,[APPEARING] 
13,34,252,YANMEGA,[APPEARING] 
13,34,253,JAMES,"Carnivine, don't let them get ahead! "
13,34,254,JAMES,I don't want you to get my head! Use b*llet Seed! 
13,34,255,CARNIVINE,[b*llet SEED MOVE] 
13,34,256,ASH,"Pikachu, use Thunderbolt! "
13,34,257,PIKACHU,[THUNDERBOLT MOVE] 
13,34,258,CARNIVINE,[DETERMINED] / [EXERTION] 
13,34,259,TOGEKISS,[FOCUSED] 
13,34,260,DAWN,"Togekiss, Air Slash, now! "
13,34,261,TOGEKISS,[AIR SLASH MOVE] 
13,34,262,CARNIVINE,[PAINED] 
13,34,263,YANMEGA,[FOCUSED] 
13,34,264,JESSIE,"All right, Yanmega, Steel Wing! "
13,34,265,YANMEGA,[STEEL WING MOVE] 
13,34,266,ASH,"Staraptor, Aerial Ace, go! "
13,34,267,STARAPTOR,[AERIAL ACE MOVE] 
13,34,268,"YANMEGA, STARAPTOR",[EXERTION] 
13,34,269,MEOWTH,I'm revving it up to give you my Fury Swipes! 
13,34,270,BROCK,"Sudowoodo, use Hammer Arm! "
13,34,271,SUDOWOODO,[HAMMER ARM MOVE] 
13,34,272,MEOWTH,"Ouch, ow... "
13,34,273,JESSIE,"All right, Seviper, use Poison Tail! "
13,34,274,SEVIPER,[POISON TAIL MOVE] 
13,34,275,ASH,"Torterra, Energy Ball! "
13,34,276,TORTERRA,[ENERGY BALL MOVE] 
13,34,277,SEVIPER,[DETERMINED] 
13,34,278,"CARNIVINE, YANMEGA, SEVIPER",[PAINED] 
13,34,279,ASH,"Pikachu, use Volt Tackle! "
13,34,280,DAWN,"Piplup, Hydro Pump, now! "
13,34,281,PIKACHU,[VOLT TACKLE MOVE] 
13,34,282,PIPLUP,[HYDRO PUMP MOVE] 
13,34,283,"PIKACHU, PIPLUP",[DETERMINED] 
13,34,284,MEOWTH,"Man, we don't have a gift for the Boss! "
13,34,285,JESSIE,Au contraire! We have the greatest gift a Boss who needs our expertise could want: us! 
13,34,286,JAMES,"So, this is the perfect time to flee! "
13,34,287,"JESSIE, JAMES, MEOWTH",We're blasting off...To victory! 
13,34,288,WOBBUFFET,[PROUD] 
13,34,289,"PIPLUP, PIKACHU",[EXCITED] / [AMUSED] 
13,34,290,DAWN,"Piplup, come on... "
13,34,291,"PIPLUP, PIKACHU",[SURPRISED] 
13,34,292,DAWN,Let's go home now. 
13,34,293,PIPLUP,[UPSET] 
13,34,294,PIKACHU,[SAD] 
13,34,295,PIPLUP,[SAD] 
13,34,296,DAWN,"Piplup, I'm sad too. The thing is, we all are! These are our friends. Pikachu's feeling sad about leaving, you know. "
13,34,297,PIPLUP,[SAD] 
13,34,298,DAWN,"But this certainly won't be the last time we see Ash and everyone else, so cheer up! You're a big boy! "
13,34,299,PIPLUP,[DETERMINED] 
13,34,300,DAWN,"I promise you, there's no need to worry! "
13,34,301,TV ANNOUNCER,"Now, battling for the title of Champion Master, it's Flint of the Elite Four's Infernape versus Champion Cynthia's Garchomp! "
13,34,302,"TV ANNOUNCER, SONG",And Flint commands Infernape to use Flare Blitz! It's about you It's about me It's about hope It's about dreams It's about friends that work together To claim their destiny It's about reaching for the skies Pokemon! Given the courage And willing to try It's about never giving up So hold your head up And we will carry on... It's about reaching for the skies Pokemon! Given the courage And willing to try It's about never giving up So hold your head up And we will carry on... Sinnoh League Victors 
13,34,303,TV ANNOUNCER,Infernape is down! Unable to take out Cynthia's Garchomp after defeating two of her Pokémon! 
13,34,304,TV ANNOUNCER,"So, once again, Cynthia defends her title as Champion Master and remains on her throne! Can anyone b*at her? "
13,34,305,ASH,Yeah! I can! 
13,34,306,DAWN,That came out of nowhere. 
13,34,307,PIPLUP,[SURPRISED] 
13,34,308,ASH,"No way, Dawn! It's always on my mind! Someday, somehow... "
13,34,309,ASH,I'm gonna win the Champion League and become Champion Master! 
13,34,310,PIKACHU,[ENCOURAGING] 
13,34,311,ASH,"You're right! And of course, that means I'll finally be a Pokémon Master! "
13,34,312,PIKACHU,[EXCITED] 
13,34,313,DAWN,Awesome! Your big dream! 
13,34,314,BROCK,"Hey guys, there's something that I've wanted to tell you. "
13,34,315,ASH,What? 
13,34,316,BROCK,"The thing is, after watching you, and Dawn going for your dreams, I've decided I need to go for a dream of my own. "
13,34,317,BROCK,That's why I'm planning to use of all my experience- to become a Pokémon Doctor! 
13,34,318,"ASH, DAWN",A Pokémon Doctor? 
13,34,319,PIKACHU,[IMPRESSED] 
13,34,320,PIPLUP,[IMPRESSED] 
13,34,321,BROCK,"But to become a doctor, I'll have to study hard! Which means I won't have the time to continue on our journey. "
13,34,322,"PIPLUP, PIKACHU",[SURPRISED] 
13,34,323,ASH,"I understand! Go for it, Brock! "
13,34,324,DAWN,Good luck! 
13,34,325,PIKACHU,[EXCITED] 
13,34,326,PIPLUP,[EXCITED] 
13,34,327,BROCK,"Thanks, you two. Becoming a doctor will let me help out Pokémon from all over the world! "
13,34,328,DAWN,So! Ash will be a Pokémon Master and Brock a Pokémon Doctor and I'll be Top Coordinator! Sounds good to me! And no need to worry! 
13,34,329,ASH,"Whenever you say no need to worry, that's when I worry the most! "
13,34,330,DAWN,"No need, Ash! This time I'm right! "
13,34,331,JOHANNA,"It's three o' clock, you two. almost time to go! "
13,34,332,WINGULL,[FOCUSED] 
13,34,333,WINGULL FLOCK,[FOCUSED] 
13,34,334,ASH,"Man, that's a lot of stuff! "
13,34,335,BROCK,Don't forget I've got nine brothers and sisters in that family of mine! 
13,34,336,BROCK,Not to mention all of the lovely Nurse Joys and Officer Jennys waiting there for me in Kanto! 
13,34,337,PIPLUP,[EXASPERATED] 
13,34,338,DAWN,I forgot. 
13,34,339,ASH,Okay! We're here! - 
13,34,340,DAWN,Right! - 
13,34,341,BROCK,Hey thanks. 
13,34,342,DAWN,"Ash, Brock, one thing. "
13,34,343,DAWN,Thank you so much! 
13,34,344,ASH,"No, thank you! "
13,34,345,BROCK,"Yeah, thank you. "
13,34,346,DAWN,Hurry or you'll be late! - 
13,34,347,ASH,Right... - 
13,34,348,BROCK,So... 
13,34,349,PIKACHU,[SAD] 
13,34,350,DAWN,Wait a minute! 
13,34,351,ASH,What's up? 
13,34,352,"PIKACHU, PIPLUP",[HAPPY] 
13,34,353,"PIKACHU, PIPLUP",[LOVING] 
13,34,354,PIKACHU,[EXERTION] 
13,34,355,ASH,Dawn! 
13,34,356,ASH,No need to worry! 
13,34,357,DAWN,You guys take good care! 
13,34,358,PIPLUP,[CARING] 
13,34,359,DAWN,"Ash, Pikachu, Brock, thanks for everything! "
13,34,360,PIPLUP,[PARTING] 
13,34,361,NARRATOR,"Although for Ash, Dawn and Brock, their Sinnoh journey may be at an end, their dreams will continue on! "
13,34,362,NARRATOR,...as they each set their sights on brand new challenges and exciting adventures! 
13,34,363,PIKACHU,[EXERTION] 
13,34,364,ASH,I guess this is it. 
13,34,365,BROCK,Yeah. 
13,34,366,ASH,"You can do it, Pokémon Doctor Brock! "
13,34,367,BROCK,"Pokémon Master Ash, you can too! "
13,34,368,"ASH, BROCK",Yes! 
13,34,369,ASH,"There's Pallet Town. Let's go, Pikachu! "
13,34,370,PIKACHU,[EXCITED
13,33,0,WINGULL FLOCK,[CALM] 
13,33,1,NARRATOR,"With the Sinnoh League Tournament at Lily of the Valley Island behind them, our heroes now make their way to Twinleaf Town. "
13,33,2,ASH,"Something wrong, Brock? "
13,33,3,DAWN,"Hi, Brock! Penny for your thoughts. "
13,33,4,BROCK,Uh I just wanted to get some fresh air. 
13,33,5,ASH,Gotcha! 
13,33,6,ASH,"Once we hit the seaport, we'll be close to Twinleaf Town, right? "
13,33,7,DAWN,Right!  
13,33,8,PIPLUP,[EXCITED] 
13,33,9,BROCK,"Yeah, if I remember correctly, you first came to Sinnoh through the seaport there! "
13,33,10,PIKACHU,[NOSTALGIC] 
13,33,11,DAWN,"So, what're you gonna do when we get there? "
13,33,12,ASH,I'm going home! I need a little time to think about what's up next. 
13,33,13,BROCK,I'll do the same. I haven't seen my family in Pewter City in a while! 
13,33,14,ASH,And you? 
13,33,15,DAWN,"Home for me too! Mom will be cooking up a storm, and boy will I eat! And figure out what's next... "
13,33,16,ASH,"So, I guess it's goodbye when we reach the seaport. "
13,33,17,ASH,Soon as we get there.Brock and I are catching a ferry to Kanto! 
13,33,18,BROCK,"Right! And once we get there, we'll be going our - separate ways.  - "
13,33,19,ASH,Yeah. 
13,33,20,DAWN,You know. I'll miss you guys. 
13,33,21,DAWN,I know! Why you don't you come to my house before you head to Kanto? 
13,33,22,PIPLUP,[EXCITED] 
13,33,23,ASH,Sounds like a great idea! 
13,33,24,BROCK,"Yeah, I agree! "
13,33,25,DAWN,Then it's settled! 
13,33,26,PICHU,[CURIOUS] 
13,33,27,ASH,Wow! A Pichu! 
13,33,28,BROCK,And Pichu's got company! 
13,33,29,BROCK,"Cleffa, Igglybuff, Teddiursa, and Azurill! "
13,33,30,DAWN,"Smoochum and Wynaut, too! "
13,33,31,ASH,Let's go and say hi! 
13,33,32,PIKACHU,[EXCITED] 
13,33,33,PICHU,[SURPRISED] It's about you It's about me It's about hope It's about dreams It's about friends that work together To claim their destiny It's about reaching for the skies Pokemon! Given the courage And willing to try It's about never giving up So hold your head up And we will carry on... Sinnoh League Victors Pokemon! 
13,33,34,PICHU,[CURIOUS] / [HAPPY] 
13,33,35,PIKACHU,[HAPPY]  
13,33,36,PIPLUP,[EXCITED] 
13,33,37,PICHU,[AMUSED][CURIOUS] 
13,33,38,CLEFFA,[HAPPY] 
13,33,39,NORMAJEAN,"Hey, come on! You know you're not supposed to be out here on the deck! You could slip and fall overboard. Now. "
13,33,40,BROCK,Look out! Are you okay? 
13,33,41,NORMAJEAN,Yeah. Thank you! 
13,33,42,BROCK,"The decks on these boats can get slippery when wet, so you need to be careful! "
13,33,43,NORMAJEAN,Right!  
13,33,44,PICHU,[AMUSED] 
13,33,45,NORMAJEAN,Hey! What's so funny? 
13,33,46,DAWN,So are these Pokémon all yours? 
13,33,47,NORMAJEAN,Oh no! I'm a preschool teacher trainee over at the Pokémon Nursery. And I'm in charge of looking after all of these sweet Pokémon! 
13,33,48,ASH,Whoa! They're all so tiny and cute! 
13,33,49,NORMAJEAN,"Aren't they though? But, the problem is, they all have a mind of their own and don't want to listen to me at times! "
13,33,50,BROCK,"Well, patience is the key! It seems to me as long as you're loving and honest with them, while not backing down, I'm certain they'll come back around... "
13,33,51,NORMAJEAN,Wow! You sound exactly like a Nursery School teacher! 
13,33,52,DAWN,"Actually, Brock isn't a teacher.he's really a Pokémon Breeder! "
13,33,53,NORMAJEAN,Oh! And you're Brock? 
13,33,54,BROCK,Yeah! 
13,33,55,ASH,"Hi, I'm Ash. And this is Pikachu. "
13,33,56,PIKACHU,[FRIENDLY] 
13,33,57,DAWN,Hi! My name's Dawn! This is Piplup... 
13,33,58,PIPLUP,[FRIENDLY] 
13,33,59,NORMAJEAN,My name's Normajean. How do you do! 
13,33,60,JAMES,A traveling Twerp means Pikachu's in tow! 
13,33,61,JESSIE,"And that means one thing, you know... "
13,33,62,MEOWTH,"Team Rocket follows, yo! "
13,33,63,JAMES,Heidey ho! Our treasure radar speaks! 
13,33,64,MEOWTH,We're gonna need treasure to pay for that thing! 
13,33,65,JESSIE,"So, stop bellyaching and let's get treasuring! "
13,33,66,JESSIE,Triple-time! 
13,33,67,JAMES,Tentacruel aren't treasure. Magnify. 
13,33,68,JAMES,Bingo! My favorite bling! 
13,33,69,JESSIE,Is it gold? Silver? Platinum? 
13,33,70,MEOWTH,"Rubies or sapphires?! Although diamonds and pearls rock, too! "
13,33,71,JAMES,It's not quite that black and white. 
13,33,72,TENTACRUEL X ,[ANGRY] 
13,33,73,TENTACRUEL X ,[ANGRY] 
13,33,74,MEOWTH,I hate Tentacruel with a 'tude. 
13,33,75,JESSIE,"James, make sure nothing stands in between our fortune and us! "
13,33,76,JAMES,"Right! No muss, no fuss! "
13,33,77,JAMES,Wipe out!  
13,33,78,TENTACRUEL X ,[SHOCKED] 
13,33,79,JAMES,Let's see. 
13,33,80,JAMES,JOY! Priceless! 
13,33,81,JESSIE,"It's a bottle cap, Brainiac! "
13,33,82,MEOWTH,Throw that dumb junk back! 
13,33,83,JAMES,How dare you? 
13,33,84,JAMES,This cap is the rarest of the rare! 
13,33,85,JAMES,It capped a super-rare drink! Sold exclusively on the ferryboats! The Gourmet Curry-Flavored Lemonade! 
13,33,86,JESSIE,Spare me. 
13,33,87,MEOWTH,Uh oh! Our buddies are back. 
13,33,88,JAMES,Maybe they're sorry. 
13,33,89,TENTACRUEL X ,[POISON STING MOVE] 
13,33,90,MEOWTH ,They're sorry.sorry we copped their cap in the first place! 
13,33,91,JESSIE,Give them back their stupid cap and let's be done with it! 
13,33,92,JAMES,Not on your life! We're off! 
13,33,93,TENTACRUEL X ,[ANGRY] 
13,33,94,JAMES,There's not a Tentacruel in the whole wide world that can match our pedaling prowess! - 
13,33,95,JESSIE,What now? - 
13,33,96,JAMES,Impact! 
13,33,97,PICHU,[SHOCKED] 
13,33,98,BROCK,What could that have been? 
13,33,99,ASH,[WORRIED] 
13,33,100,PIPLUP,[WORRIED] 
13,33,101,MEOWTH,Man.... Seems we're safe here... 
13,33,102,TENTACRUEL X ,[ANGRY] 
13,33,103,TENTACRUEL X ,[ANGRY] 
13,33,104,MEOWTH,Not! 
13,33,105,JAMES,Tenacious Tentacruel! 
13,33,106,JESSIE,Hurry! 
13,33,107,ASH,[PAINED] 
13,33,108,ASH,Team Rocket! 
